zip,state,city,source
00501,NY,HOLTSVILLE,Archived federalgovernmentzipcodes.us Primary CSV
00544,NY,HOLTSVILLE,Archived federalgovernmentzipcodes.us Primary CSV
00601,PR,ADJUNTAS,Archived federalgovernmentzipcodes.us Primary CSV
00602,PR,AGUADA,Archived federalgovernmentzipcodes.us Primary CSV
00603,PR,AGUADILLA,Archived federalgovernmentzipcodes.us Primary CSV
00604,PR,AGUADILLA,Archived federalgovernmentzipcodes.us Primary CSV
00605,PR,AGUADILLA,Archived federalgovernmentzipcodes.us Primary CSV
00606,PR,MARICAO,Archived federalgovernmentzipcodes.us Primary CSV
00610,PR,ANASCO,Archived federalgovernmentzipcodes.us Primary CSV
00611,PR,ANGELES,Archived federalgovernmentzipcodes.us Primary CSV
00612,PR,ARECIBO,Archived federalgovernmentzipcodes.us Primary CSV
00613,PR,ARECIBO,Archived federalgovernmentzipcodes.us Primary CSV
00614,PR,ARECIBO,Archived federalgovernmentzipcodes.us Primary CSV
00616,PR,BAJADERO,Archived federalgovernmentzipcodes.us Primary CSV
00617,PR,BARCELONETA,Archived federalgovernmentzipcodes.us Primary CSV
00622,PR,BOQUERON,Archived federalgovernmentzipcodes.us Primary CSV
00623,PR,CABO ROJO,Archived federalgovernmentzipcodes.us Primary CSV
00624,PR,PENUELAS,Archived federalgovernmentzipcodes.us Primary CSV
00627,PR,CAMUY,Archived federalgovernmentzipcodes.us Primary CSV
00631,PR,CASTANER,Archived federalgovernmentzipcodes.us Primary CSV
00636,PR,ROSARIO,Archived federalgovernmentzipcodes.us Primary CSV
00637,PR,SABANA GRANDE,Archived federalgovernmentzipcodes.us Primary CSV
00638,PR,CIALES,Archived federalgovernmentzipcodes.us Primary CSV
00641,PR,UTUADO,Archived federalgovernmentzipcodes.us Primary CSV
00646,PR,DORADO,Archived federalgovernmentzipcodes.us Primary CSV
00647,PR,ENSENADA,Archived federalgovernmentzipcodes.us Primary CSV
00650,PR,FLORIDA,Archived federalgovernmentzipcodes.us Primary CSV
00652,PR,GARROCHALES,Archived federalgovernmentzipcodes.us Primary CSV
00653,PR,GUANICA,Archived federalgovernmentzipcodes.us Primary CSV
00656,PR,GUAYANILLA,Archived federalgovernmentzipcodes.us Primary CSV
00659,PR,HATILLO,Archived federalgovernmentzipcodes.us Primary CSV
00660,PR,HORMIGUEROS,Archived federalgovernmentzipcodes.us Primary CSV
00662,PR,ISABELA,Archived federalgovernmentzipcodes.us Primary CSV
00664,PR,JAYUYA,Archived federalgovernmentzipcodes.us Primary CSV
00667,PR,LAJAS,Archived federalgovernmentzipcodes.us Primary CSV
00669,PR,LARES,Archived federalgovernmentzipcodes.us Primary CSV
00670,PR,LAS MARIAS,Archived federalgovernmentzipcodes.us Primary CSV
00674,PR,MANATI,Archived federalgovernmentzipcodes.us Primary CSV
00676,PR,MOCA,Archived federalgovernmentzipcodes.us Primary CSV
00677,PR,RINCON,Archived federalgovernmentzipcodes.us Primary CSV
00678,PR,QUEBRADILLAS,Archived federalgovernmentzipcodes.us Primary CSV
00680,PR,MAYAGUEZ,Archived federalgovernmentzipcodes.us Primary CSV
00681,PR,MAYAGUEZ,Archived federalgovernmentzipcodes.us Primary CSV
00682,PR,MAYAGUEZ,Archived federalgovernmentzipcodes.us Primary CSV
00683,PR,SAN GERMAN,Archived federalgovernmentzipcodes.us Primary CSV
00685,PR,SAN SEBASTIAN,Archived federalgovernmentzipcodes.us Primary CSV
00687,PR,MOROVIS,Archived federalgovernmentzipcodes.us Primary CSV
00688,PR,SABANA HOYOS,Archived federalgovernmentzipcodes.us Primary CSV
00690,PR,SAN ANTONIO,Archived federalgovernmentzipcodes.us Primary CSV
00692,PR,VEGA ALTA,Archived federalgovernmentzipcodes.us Primary CSV
00693,PR,VEGA BAJA,Archived federalgovernmentzipcodes.us Primary CSV
00694,PR,VEGA BAJA,Archived federalgovernmentzipcodes.us Primary CSV
00698,PR,YAUCO,Archived federalgovernmentzipcodes.us Primary CSV
00703,PR,AGUAS BUENAS,Archived federalgovernmentzipcodes.us Primary CSV
00704,PR,AGUIRRE,Archived federalgovernmentzipcodes.us Primary CSV
00705,PR,AIBONITO,Archived federalgovernmentzipcodes.us Primary CSV
00707,PR,MAUNABO,Archived federalgovernmentzipcodes.us Primary CSV
00714,PR,ARROYO,Archived federalgovernmentzipcodes.us Primary CSV
00715,PR,MERCEDITA,Archived federalgovernmentzipcodes.us Primary CSV
00716,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00717,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00718,PR,NAGUABO,Archived federalgovernmentzipcodes.us Primary CSV
00719,PR,NARANJITO,Archived federalgovernmentzipcodes.us Primary CSV
00720,PR,OROCOVIS,Archived federalgovernmentzipcodes.us Primary CSV
00721,PR,PALMER,Archived federalgovernmentzipcodes.us Primary CSV
00723,PR,PATILLAS,Archived federalgovernmentzipcodes.us Primary CSV
00725,PR,CAGUAS,Archived federalgovernmentzipcodes.us Primary CSV
00726,PR,CAGUAS,Archived federalgovernmentzipcodes.us Primary CSV
00727,PR,CAGUAS,Archived federalgovernmentzipcodes.us Primary CSV
00728,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00729,PR,CANOVANAS,Archived federalgovernmentzipcodes.us Primary CSV
00730,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00731,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00732,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00733,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00734,PR,PONCE,Archived federalgovernmentzipcodes.us Primary CSV
00735,PR,CEIBA,Archived federalgovernmentzipcodes.us Primary CSV
00736,PR,CAYEY,Archived federalgovernmentzipcodes.us Primary CSV
00737,PR,CAYEY,Archived federalgovernmentzipcodes.us Primary CSV
00738,PR,FAJARDO,Archived federalgovernmentzipcodes.us Primary CSV
00739,PR,CIDRA,Archived federalgovernmentzipcodes.us Primary CSV
00740,PR,PUERTO REAL,Archived federalgovernmentzipcodes.us Primary CSV
00741,PR,PUNTA SANTIAGO,Archived federalgovernmentzipcodes.us Primary CSV
00742,PR,ROOSEVELT ROADS,Archived federalgovernmentzipcodes.us Primary CSV
00744,PR,RIO BLANCO,Archived federalgovernmentzipcodes.us Primary CSV
00745,PR,RIO GRANDE,Archived federalgovernmentzipcodes.us Primary CSV
00751,PR,SALINAS,Archived federalgovernmentzipcodes.us Primary CSV
00754,PR,SAN LORENZO,Archived federalgovernmentzipcodes.us Primary CSV
00757,PR,SANTA ISABEL,Archived federalgovernmentzipcodes.us Primary CSV
00765,PR,VIEQUES,Archived federalgovernmentzipcodes.us Primary CSV
00766,PR,VILLALBA,Archived federalgovernmentzipcodes.us Primary CSV
00767,PR,YABUCOA,Archived federalgovernmentzipcodes.us Primary CSV
00769,PR,COAMO,Archived federalgovernmentzipcodes.us Primary CSV
00771,PR,LAS PIEDRAS,Archived federalgovernmentzipcodes.us Primary CSV
00772,PR,LOIZA,Archived federalgovernmentzipcodes.us Primary CSV
00773,PR,LUQUILLO,Archived federalgovernmentzipcodes.us Primary CSV
00775,PR,CULEBRA,Archived federalgovernmentzipcodes.us Primary CSV
00777,PR,JUNCOS,Archived federalgovernmentzipcodes.us Primary CSV
00778,PR,GURABO,Archived federalgovernmentzipcodes.us Primary CSV
00780,PR,COTO LAUREL,Archived federalgovernmentzipcodes.us Primary CSV
00782,PR,COMERIO,Archived federalgovernmentzipcodes.us Primary CSV
00783,PR,COROZAL,Archived federalgovernmentzipcodes.us Primary CSV
00784,PR,GUAYAMA,Archived federalgovernmentzipcodes.us Primary CSV
00785,PR,GUAYAMA,Archived federalgovernmentzipcodes.us Primary CSV
00786,PR,LA PLATA,Archived federalgovernmentzipcodes.us Primary CSV
00791,PR,HUMACAO,Archived federalgovernmentzipcodes.us Primary CSV
00792,PR,HUMACAO,Archived federalgovernmentzipcodes.us Primary CSV
00794,PR,BARRANQUITAS,Archived federalgovernmentzipcodes.us Primary CSV
00795,PR,JUANA DIAZ,Archived federalgovernmentzipcodes.us Primary CSV
00801,VI,ST THOMAS,Archived federalgovernmentzipcodes.us Primary CSV
00802,VI,ST THOMAS,Archived federalgovernmentzipcodes.us Primary CSV
00803,VI,ST THOMAS,Archived federalgovernmentzipcodes.us Primary CSV
00804,VI,ST THOMAS,Archived federalgovernmentzipcodes.us Primary CSV
00805,VI,ST THOMAS,Archived federalgovernmentzipcodes.us Primary CSV
00820,VI,CHRISTIANSTED,Archived federalgovernmentzipcodes.us Primary CSV
00821,VI,CHRISTIANSTED,Archived federalgovernmentzipcodes.us Primary CSV
00822,VI,CHRISTIANSTED,Archived federalgovernmentzipcodes.us Primary CSV
00823,VI,CHRISTIANSTED,Archived federalgovernmentzipcodes.us Primary CSV
00824,VI,CHRISTIANSTED,Archived federalgovernmentzipcodes.us Primary CSV
00830,VI,ST JOHN,Archived federalgovernmentzipcodes.us Primary CSV
00831,VI,ST JOHN,Archived federalgovernmentzipcodes.us Primary CSV
00840,VI,FREDERIKSTED,Archived federalgovernmentzipcodes.us Primary CSV
00841,VI,FREDERIKSTED,Archived federalgovernmentzipcodes.us Primary CSV
00850,VI,KINGSHILL,Archived federalgovernmentzipcodes.us Primary CSV
00851,VI,KINGSHILL,Archived federalgovernmentzipcodes.us Primary CSV
00901,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00902,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00906,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00907,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00908,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00909,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00910,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00911,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00912,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00913,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00914,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00915,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00916,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00917,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00918,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00919,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00920,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00921,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00922,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00923,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00924,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00925,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00926,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00927,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00928,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00929,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00930,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00931,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00933,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00934,PR,FORT BUCHANAN,Archived federalgovernmentzipcodes.us Primary CSV
00935,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00936,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00937,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00939,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00940,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00949,PR,TOA BAJA,Archived federalgovernmentzipcodes.us Primary CSV
00950,PR,TOA BAJA,Archived federalgovernmentzipcodes.us Primary CSV
00951,PR,TOA BAJA,Archived federalgovernmentzipcodes.us Primary CSV
00952,PR,SABANA SECA,Archived federalgovernmentzipcodes.us Primary CSV
00953,PR,TOA ALTA,Archived federalgovernmentzipcodes.us Primary CSV
00954,PR,TOA ALTA,Archived federalgovernmentzipcodes.us Primary CSV
00955,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00956,PR,BAYAMON,Archived federalgovernmentzipcodes.us Primary CSV
00957,PR,BAYAMON,Archived federalgovernmentzipcodes.us Primary CSV
00958,PR,BAYAMON,Archived federalgovernmentzipcodes.us Primary CSV
00959,PR,BAYAMON,Archived federalgovernmentzipcodes.us Primary CSV
00960,PR,BAYAMON,Archived federalgovernmentzipcodes.us Primary CSV
00961,PR,BAYAMON,Archived federalgovernmentzipcodes.us Primary CSV
00962,PR,CATANO,Archived federalgovernmentzipcodes.us Primary CSV
00963,PR,CATANO,Archived federalgovernmentzipcodes.us Primary CSV
00965,PR,GUAYNABO,Archived federalgovernmentzipcodes.us Primary CSV
00966,PR,GUAYNABO,Archived federalgovernmentzipcodes.us Primary CSV
00968,PR,GUAYNABO,Archived federalgovernmentzipcodes.us Primary CSV
00969,PR,GUAYNABO,Archived federalgovernmentzipcodes.us Primary CSV
00970,PR,GUAYNABO,Archived federalgovernmentzipcodes.us Primary CSV
00971,PR,GUAYNABO,Archived federalgovernmentzipcodes.us Primary CSV
00975,PR,SAN JUAN,Archived federalgovernmentzipcodes.us Primary CSV
00976,PR,TRUJILLO ALTO,Archived federalgovernmentzipcodes.us Primary CSV
00977,PR,TRUJILLO ALTO,Archived federalgovernmentzipcodes.us Primary CSV
00978,PR,SAINT JUST,Archived federalgovernmentzipcodes.us Primary CSV
00979,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00981,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00982,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00983,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00984,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00985,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00986,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00987,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
00988,PR,CAROLINA,Archived federalgovernmentzipcodes.us Primary CSV
01001,MA,AGAWAM,Archived federalgovernmentzipcodes.us Primary CSV
01002,MA,AMHERST,Archived federalgovernmentzipcodes.us Primary CSV
01003,MA,AMHERST,Archived federalgovernmentzipcodes.us Primary CSV
01004,MA,AMHERST,Archived federalgovernmentzipcodes.us Primary CSV
01005,MA,BARRE,Archived federalgovernmentzipcodes.us Primary CSV
01007,MA,BELCHERTOWN,Archived federalgovernmentzipcodes.us Primary CSV
01008,MA,BLANDFORD,Archived federalgovernmentzipcodes.us Primary CSV
01009,MA,BONDSVILLE,Archived federalgovernmentzipcodes.us Primary CSV
01010,MA,BRIMFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01011,MA,CHESTER,Archived federalgovernmentzipcodes.us Primary CSV
01012,MA,CHESTERFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01013,MA,CHICOPEE,Archived federalgovernmentzipcodes.us Primary CSV
01014,MA,CHICOPEE,Archived federalgovernmentzipcodes.us Primary CSV
01020,MA,CHICOPEE,Archived federalgovernmentzipcodes.us Primary CSV
01021,MA,CHICOPEE,Archived federalgovernmentzipcodes.us Primary CSV
01022,MA,CHICOPEE,Archived federalgovernmentzipcodes.us Primary CSV
01026,MA,CUMMINGTON,Archived federalgovernmentzipcodes.us Primary CSV
01027,MA,EASTHAMPTON,Archived federalgovernmentzipcodes.us Primary CSV
01028,MA,EAST LONGMEADOW,Archived federalgovernmentzipcodes.us Primary CSV
01029,MA,EAST OTIS,Archived federalgovernmentzipcodes.us Primary CSV
01030,MA,FEEDING HILLS,Archived federalgovernmentzipcodes.us Primary CSV
01031,MA,GILBERTVILLE,Archived federalgovernmentzipcodes.us Primary CSV
01032,MA,GOSHEN,Archived federalgovernmentzipcodes.us Primary CSV
01033,MA,GRANBY,Archived federalgovernmentzipcodes.us Primary CSV
01034,MA,GRANVILLE,Archived federalgovernmentzipcodes.us Primary CSV
01035,MA,HADLEY,Archived federalgovernmentzipcodes.us Primary CSV
01036,MA,HAMPDEN,Archived federalgovernmentzipcodes.us Primary CSV
01037,MA,HARDWICK,Archived federalgovernmentzipcodes.us Primary CSV
01038,MA,HATFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01039,MA,HAYDENVILLE,Archived federalgovernmentzipcodes.us Primary CSV
01040,MA,HOLYOKE,Archived federalgovernmentzipcodes.us Primary CSV
01041,MA,HOLYOKE,Archived federalgovernmentzipcodes.us Primary CSV
01050,MA,HUNTINGTON,Archived federalgovernmentzipcodes.us Primary CSV
01053,MA,LEEDS,Archived federalgovernmentzipcodes.us Primary CSV
01054,MA,LEVERETT,Archived federalgovernmentzipcodes.us Primary CSV
01056,MA,LUDLOW,Archived federalgovernmentzipcodes.us Primary CSV
01057,MA,MONSON,Archived federalgovernmentzipcodes.us Primary CSV
01059,MA,NORTH AMHERST,Archived federalgovernmentzipcodes.us Primary CSV
01060,MA,NORTHAMPTON,Archived federalgovernmentzipcodes.us Primary CSV
01061,MA,NORTHAMPTON,Archived federalgovernmentzipcodes.us Primary CSV
01062,MA,FLORENCE,Archived federalgovernmentzipcodes.us Primary CSV
01063,MA,NORTHAMPTON,Archived federalgovernmentzipcodes.us Primary CSV
01066,MA,NORTH HATFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01068,MA,OAKHAM,Archived federalgovernmentzipcodes.us Primary CSV
01069,MA,PALMER,Archived federalgovernmentzipcodes.us Primary CSV
01070,MA,PLAINFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01071,MA,RUSSELL,Archived federalgovernmentzipcodes.us Primary CSV
01072,MA,SHUTESBURY,Archived federalgovernmentzipcodes.us Primary CSV
01073,MA,SOUTHAMPTON,Archived federalgovernmentzipcodes.us Primary CSV
01074,MA,SOUTH BARRE,Archived federalgovernmentzipcodes.us Primary CSV
01075,MA,SOUTH HADLEY,Archived federalgovernmentzipcodes.us Primary CSV
01077,MA,SOUTHWICK,Archived federalgovernmentzipcodes.us Primary CSV
01079,MA,THORNDIKE,Archived federalgovernmentzipcodes.us Primary CSV
01080,MA,THREE RIVERS,Archived federalgovernmentzipcodes.us Primary CSV
01081,MA,WALES,Archived federalgovernmentzipcodes.us Primary CSV
01082,MA,WARE,Archived federalgovernmentzipcodes.us Primary CSV
01083,MA,WARREN,Archived federalgovernmentzipcodes.us Primary CSV
01084,MA,WEST CHESTERFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01085,MA,WESTFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01086,MA,WESTFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01088,MA,WEST HATFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01089,MA,WEST SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01090,MA,WEST SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01092,MA,WEST WARREN,Archived federalgovernmentzipcodes.us Primary CSV
01093,MA,WHATELY,Archived federalgovernmentzipcodes.us Primary CSV
01094,MA,WHEELWRIGHT,Archived federalgovernmentzipcodes.us Primary CSV
01095,MA,WILBRAHAM,Archived federalgovernmentzipcodes.us Primary CSV
01096,MA,WILLIAMSBURG,Archived federalgovernmentzipcodes.us Primary CSV
01097,MA,WORONOCO,Archived federalgovernmentzipcodes.us Primary CSV
01098,MA,WORTHINGTON,Archived federalgovernmentzipcodes.us Primary CSV
01101,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01102,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01103,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01104,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01105,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01106,MA,LONGMEADOW,Archived federalgovernmentzipcodes.us Primary CSV
01107,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01108,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01109,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01111,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01115,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01116,MA,LONGMEADOW,Archived federalgovernmentzipcodes.us Primary CSV
01118,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01119,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01128,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01129,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01133,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01138,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01139,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01144,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01151,MA,INDIAN ORCHARD,Archived federalgovernmentzipcodes.us Primary CSV
01152,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01195,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01199,MA,SPRINGFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01201,MA,PITTSFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01202,MA,PITTSFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01203,MA,PITTSFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01220,MA,ADAMS,Archived federalgovernmentzipcodes.us Primary CSV
01222,MA,ASHLEY FALLS,Archived federalgovernmentzipcodes.us Primary CSV
01223,MA,BECKET,Archived federalgovernmentzipcodes.us Primary CSV
01224,MA,BERKSHIRE,Archived federalgovernmentzipcodes.us Primary CSV
01225,MA,CHESHIRE,Archived federalgovernmentzipcodes.us Primary CSV
01226,MA,DALTON,Archived federalgovernmentzipcodes.us Primary CSV
01227,MA,DALTON,Archived federalgovernmentzipcodes.us Primary CSV
01229,MA,GLENDALE,Archived federalgovernmentzipcodes.us Primary CSV
01230,MA,GREAT BARRINGTON,Archived federalgovernmentzipcodes.us Primary CSV
01235,MA,HINSDALE,Archived federalgovernmentzipcodes.us Primary CSV
01236,MA,HOUSATONIC,Archived federalgovernmentzipcodes.us Primary CSV
01237,MA,LANESBORO,Archived federalgovernmentzipcodes.us Primary CSV
01238,MA,LEE,Archived federalgovernmentzipcodes.us Primary CSV
01240,MA,LENOX,Archived federalgovernmentzipcodes.us Primary CSV
01242,MA,LENOX DALE,Archived federalgovernmentzipcodes.us Primary CSV
01243,MA,MIDDLEFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01244,MA,MILL RIVER,Archived federalgovernmentzipcodes.us Primary CSV
01245,MA,MONTEREY,Archived federalgovernmentzipcodes.us Primary CSV
01247,MA,NORTH ADAMS,Archived federalgovernmentzipcodes.us Primary CSV
01252,MA,NORTH EGREMONT,Archived federalgovernmentzipcodes.us Primary CSV
01253,MA,OTIS,Archived federalgovernmentzipcodes.us Primary CSV
01254,MA,RICHMOND,Archived federalgovernmentzipcodes.us Primary CSV
01255,MA,SANDISFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01256,MA,SAVOY,Archived federalgovernmentzipcodes.us Primary CSV
01257,MA,SHEFFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01258,MA,SOUTH EGREMONT,Archived federalgovernmentzipcodes.us Primary CSV
01259,MA,SOUTHFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01260,MA,SOUTH LEE,Archived federalgovernmentzipcodes.us Primary CSV
01262,MA,STOCKBRIDGE,Archived federalgovernmentzipcodes.us Primary CSV
01263,MA,STOCKBRIDGE,Archived federalgovernmentzipcodes.us Primary CSV
01264,MA,TYRINGHAM,Archived federalgovernmentzipcodes.us Primary CSV
01266,MA,WEST STOCKBRIDGE,Archived federalgovernmentzipcodes.us Primary CSV
01267,MA,WILLIAMSTOWN,Archived federalgovernmentzipcodes.us Primary CSV
01270,MA,WINDSOR,Archived federalgovernmentzipcodes.us Primary CSV
01301,MA,GREENFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01302,MA,GREENFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01330,MA,ASHFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01331,MA,ATHOL,Archived federalgovernmentzipcodes.us Primary CSV
01337,MA,BERNARDSTON,Archived federalgovernmentzipcodes.us Primary CSV
01338,MA,BUCKLAND,Archived federalgovernmentzipcodes.us Primary CSV
01339,MA,CHARLEMONT,Archived federalgovernmentzipcodes.us Primary CSV
01340,MA,COLRAIN,Archived federalgovernmentzipcodes.us Primary CSV
01341,MA,CONWAY,Archived federalgovernmentzipcodes.us Primary CSV
01342,MA,DEERFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01343,MA,DRURY,Archived federalgovernmentzipcodes.us Primary CSV
01344,MA,ERVING,Archived federalgovernmentzipcodes.us Primary CSV
01346,MA,HEATH,Archived federalgovernmentzipcodes.us Primary CSV
01347,MA,LAKE PLEASANT,Archived federalgovernmentzipcodes.us Primary CSV
01349,MA,MILLERS FALLS,Archived federalgovernmentzipcodes.us Primary CSV
01350,MA,MONROE BRIDGE,Archived federalgovernmentzipcodes.us Primary CSV
01351,MA,MONTAGUE,Archived federalgovernmentzipcodes.us Primary CSV
01354,MA,GILL,Archived federalgovernmentzipcodes.us Primary CSV
01355,MA,NEW SALEM,Archived federalgovernmentzipcodes.us Primary CSV
01360,MA,NORTHFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01364,MA,ORANGE,Archived federalgovernmentzipcodes.us Primary CSV
01366,MA,PETERSHAM,Archived federalgovernmentzipcodes.us Primary CSV
01367,MA,ROWE,Archived federalgovernmentzipcodes.us Primary CSV
01368,MA,ROYALSTON,Archived federalgovernmentzipcodes.us Primary CSV
01370,MA,SHELBURNE FALLS,Archived federalgovernmentzipcodes.us Primary CSV
01373,MA,SOUTH DEERFIELD,Archived federalgovernmentzipcodes.us Primary CSV
01375,MA,SUNDERLAND,Archived federalgovernmentzipcodes.us Primary CSV
01376,MA,TURNERS FALLS,Archived federalgovernmentzipcodes.us Primary CSV
01378,MA,WARWICK,Archived federalgovernmentzipcodes.us Primary CSV
01379,MA,WENDELL,Archived federalgovernmentzipcodes.us Primary CSV
01380,MA,WENDELL DEPOT,Archived federalgovernmentzipcodes.us Primary CSV
01420,MA,FITCHBURG,Archived federalgovernmentzipcodes.us Primary CSV
